String Table:

Index     Label     TL        Next      
----------------------------------------
0         -1        -1        0         
1         1000      58        202       
11        10        1         211       
21        20        4         201       
31        230       56        217       
41        40        7         204       
51        50        10        205       
61        60        12        207       
71        1070      94        228       
81        80        18        208       
91        90        21        209       
201       220       52        203       
202       100       23        206       
203       120       29        216       
204       140       32        218       
205       150       35        219       
206       2000      137       210       
207       160       37        215       
208       180       40        213       
209       190       43        221       
210       200       45        212       
211       210       50        214       
212       5000      187       222       
213       1080      101       237       
214       1010      64        223       
215       1060      88        220       
216       1020      70        224       
217       1030      73        225       
218       1040      78        226       
219       1050      83        227       
220       1160      132       234       
221       1090      104       238       
222       1100      109       235       
223       1110      114       229       
224       1120      119       230       
225       1130      125       231       
226       1140      127       232       
227       1150      130       233       
228       1170      135       236       
229       2010      140       239       
230       2020      147       0         
231       2030      150       0         
232       2040      155       0         
233       2050      160       0         
234       2060      165       0         
235       2100      180       0         
236       2070      171       0         
237       2080      176       0         
238       2090      178       0         
239       2110      185       0         
