Tokens Table:

¹    Token Class              Token Value    
-----------------------------------------------
1    LABEL                    11             
2    LET                      13             
3    OPERAND                  287            
4    LABEL                    21             
5    LET                      15             
6    OPERAND                  288            
7    LABEL                    41             
8    LET                      19             
9    OPERAND                  13             
10   LABEL                    51             
11   GOSUB                    1              
12   LABEL                    61             
13   IF                       -1             
14   OPERAND                  17             
15   ARITHMETICAL_OPERATION   1              
16   OPERAND                  289            
17   GOTO                     201            
18   LABEL                    81             
19   LET                      19             
20   OPERAND                  15             
21   LABEL                    91             
22   GOSUB                    1              
23   LABEL                    202            
24   IF                       -1             
25   OPERAND                  17             
26   ARITHMETICAL_OPERATION   1              
27   OPERAND                  289            
28   GOTO                     201            
29   LABEL                    203            
30   LET                      43             
31   OPERAND                  289            
32   LABEL                    204            
33   LET                      19             
34   OPERAND                  13             
35   LABEL                    205            
36   GOSUB                    206            
37   LABEL                    207            
38   LET                      43             
39   OPERAND                  17             
40   LABEL                    208            
41   LET                      19             
42   OPERAND                  15             
43   LABEL                    209            
44   GOSUB                    206            
45   LABEL                    210            
46   LET                      43             
47   OPERAND                  69             
48   RELATION_OPERATION       1              
49   OPERAND                  17             
50   LABEL                    211            
51   GOTO                     208            
52   LABEL                    201            
53   LET                      43             
54   RELATION_OPERATION       2              
55   OPERAND                  290            
56   LABEL                    31             
57   GOTO                     212            
58   LABEL                    1              
59   IF                       -1             
60   OPERAND                  19             
61   ARITHMETICAL_OPERATION   1              
62   OPERAND                  290            
63   GOTO                     213            
64   LABEL                    214            
65   IF                       -1             
66   OPERAND                  19             
67   ARITHMETICAL_OPERATION   2              
68   OPERAND                  291            
69   GOTO                     215            
70   LABEL                    216            
71   LET                      45             
72   OPERAND                  19             
73   LABEL                    217            
74   LET                      71             
75   OPERAND                  71             
76   RELATION_OPERATION       4              
77   OPERAND                  292            
78   LABEL                    218            
79   LET                      71             
80   OPERAND                  97             
81   RELATION_OPERATION       3              
82   OPERAND                  292            
83   LABEL                    219            
84   LET                      97             
85   OPERAND                  71             
86   RELATION_OPERATION       2              
87   OPERAND                  97             
88   LABEL                    215            
89   IF                       -1             
90   OPERAND                  123            
91   ARITHMETICAL_OPERATION   1              
92   OPERAND                  289            
93   GOTO                     220            
94   LABEL                    71             
95   FOR                      8              
96   OPERAND                  293            
97   TO                       -1             
98   OPERAND                  19             
99   STEP                     -1             
100  OPERAND                  292            
101  LABEL                    213            
102  LET                      45             
103  OPERAND                  19             
104  LABEL                    221            
105  LET                      71             
106  OPERAND                  71             
107  RELATION_OPERATION       4              
108  OPERAND                  8              
109  LABEL                    222            
110  LET                      71             
111  OPERAND                  97             
112  RELATION_OPERATION       3              
113  OPERAND                  8              
114  LABEL                    223            
115  LET                      97             
116  OPERAND                  71             
117  RELATION_OPERATION       2              
118  OPERAND                  97             
119  LABEL                    224            
120  IF                       -1             
121  OPERAND                  123            
122  ARITHMETICAL_OPERATION   1              
123  OPERAND                  289            
124  GOTO                     220            
125  LABEL                    225            
126  NEXT                     8              
127  LABEL                    226            
128  LET                      17             
129  OPERAND                  290            
130  LABEL                    227            
131  GOTO                     228            
132  LABEL                    220            
133  LET                      17             
134  OPERAND                  289            
135  LABEL                    228            
136  RETURN                   -1             
137  LABEL                    206            
138  LET                      17             
139  OPERAND                  289            
140  LABEL                    229            
141  FOR                      8              
142  OPERAND                  19             
143  TO                       -1             
144  OPERAND                  289            
145  STEP                     -1             
146  OPERAND                  290            
147  LABEL                    230            
148  LET                      45             
149  OPERAND                  8              
150  LABEL                    231            
151  LET                      71             
152  OPERAND                  71             
153  RELATION_OPERATION       4              
154  OPERAND                  293            
155  LABEL                    232            
156  LET                      71             
157  OPERAND                  97             
158  RELATION_OPERATION       3              
159  OPERAND                  293            
160  LABEL                    233            
161  LET                      97             
162  OPERAND                  71             
163  RELATION_OPERATION       2              
164  OPERAND                  97             
165  LABEL                    234            
166  IF                       -1             
167  OPERAND                  123            
168  ARITHMETICAL_OPERATION   1              
169  OPERAND                  292            
170  GOTO                     235            
171  LABEL                    236            
172  LET                      8              
173  OPERAND                  8              
174  RELATION_OPERATION       4              
175  OPERAND                  293            
176  LABEL                    237            
177  NEXT                     8              
178  LABEL                    238            
179  RETURN                   -1             
180  LABEL                    235            
181  LET                      17             
182  OPERAND                  17             
183  RELATION_OPERATION       1              
184  OPERAND                  290            
185  LABEL                    239            
186  GOTO                     236            
187  LABEL                    212            
188  END                      -1             
189  ENDMARKER                -1             
